lat,lon,label,names
40.190912,26.405553,Abydos ,Abydos
32.918629,35.072046,Acre,Acre
43.314327,3.468434,Agde,Agde
43.5675,4.193333,Aigues-Mortes,Aigues.Mortes
31.205574,29.894432,Alexandria,Alexandrie
36.787242,3.068616,Alger,Alger
51.216667,4.4,Antwerp,Anvers
36.767346,35.791048,Armenia,Armenia
32.542,44.42,Babylone,Babylone
43.492880,-1.474326,Bayonne,Bayonne
33.899231,35.505065,Beirut,Beyrouth
43,34,Black Sea,Black.Sea
36.881760,7.747497,Annaba,Bône
36.753741,5.096867,Béjaïa,Bougie
51.53,3.53,Brabant,Brabant
51.2,3.216667,Brugge,Bruges
38.2,21,Buca Culfil,Buca.Culfil
41.226,29.129,Buca Maris Maioris,Buca.maris.maioris
36.533333,-6.283333,Cadix,Cadix
45.026756,35.403110,Caffa,Caffa
36.438056,23.198611,Cap Malée,Cap.Malee
50.5,1,Caput Martin,Caput.Martin
51.12,1.32,Caput Doble,Caput.Doble
44.5,33.6,Cembalo,Cembalo
38.429380,26.041350,Chios ,Chios
42.092341,11.787671,Civita Vecchia,Civita.Vecchia
37.934105,21.160558,Glarentza,Clarence
42.526667,3.081389,Collioure,Collioure
40.988729,28.958939,Constantinople,Constantinople
39.718361,19.771744,Corfu,Corfou
36.964036,21.940778,Coron,Coron
39.083333,17.116667,Crotone,Cotrone
35.2,25,Crete,Crete
35.019082,33.239826,Cyprus,Cyprus
33.512199,36.298378,Damas,Damas
33.8,10.85,Djerba,Djerba
51.05,2.32,Dune,Dune
41.303976,19.469128,Durazzo,Durazzo
51.5,-0.116667,England,England
34.660148,32.874638,Episkopi,Episkopi
35.116667,33.95,Famagosta,Famagosta
51.14,3.67,Flanders,Flanders
41.220392,13.575845,Gaeta,Gaete
40.367222,26.455,Gallipoli,Gallipoli
44.411111,8.932778,Genoa,Genoa
37.178056,-3.600833,Granada,Grenade
32.054303,34.756943,Jaffa,Jaffa
31.783333,35.216667,Jerusalem,Jerusalem
35.513174,35.769889,Laodicée,Laodicée
34.639816,33.041446,Lemesos,Limassol
38.702488,-9.122201,Lisbon,Lisbon
39.923538,3.140964,Locum Buccari,Locum.Buccari
51.507059,-0.085691,London,London
39.585390,2.998611,Mallorca,Majorque
36.72095,-4.41506,Malaga,Malaga
43.296346,5.369889,Marseille,Marseille
46.166667,30.316667,Maurocastron,Maurocastron
38.192865,15.560811,Messina,Messine
51.494444,3.605556,Middlebourg,Middlebourg
36.813244,21.709883,Modon,Modon
36.687586,23.055625,Monemvasia,Monemvasia
43.611944,3.877222,Montpellier,Montpellier
40.825345,14.258106,Napoli,Napoli
38.572494,23.769356,Negrepont,Negrepont
35.167,33.35,Nicosie,Nicosie
35.177762,-1.661114,Honaine,One
35.709941,-0.651005,Oran,Oran
38.120398,13.368583,Palermo,Palerme
34.754114,32.410604,Paphos,Paphos
38.247043,21.723553,Patras,Patras
42.934297,10.559041,Piombino,Piombino
43.716667,10.404239,Pisa,Pise
51.26,1.9,Portus Camere,Portus.Camere
44.95,35.36,Provato,Provato
44.869725,13.831458,Pula,Pula
42.640699,18.103544,Ragusa,Ragusa
31.933333,34.866667,Rama,Rama
38.11139,15.66194,Reggio Calabre,Reggio.Calabre
36.452487,28.231354,Rhodes,Rhodes
39.5,24,Romanie,Romanie
34.916667,33.629167,Salines,Salines
36.5969,-6.22755,Sanlucar de Barrameda,San.Lucar
51.239233,1.339153,Sandwich,Sandwich
44.296439,8.479161,Savona,Savona
37.388205,-5.990519,Sevilla,Sevilla
34.705987,10.761070,Sfax,Sfax
37.6425,14.192778,Sicily,Sicily
41.301751,36.360351,Simisso,Simisso
42.011466,35.130209,Sinop,Sinope
51.35,3.5,Sluis,Sluis
50.915,-1.395278,Southampton,Southampton
37.048459,15.284872,Siracusa,Syracuse
33.5,36.4,Syria,Syria
42.558556,11.152551,Talamonis,Talamone
47.268109,39.335434,Tana,Tana
39.816667,26.0225,Tenedos,Tenedos
40.637805,22.945876,Thessaloniki,Thessalonique
40.814375,0.521016,Tortosa,Tortosa
41.004318,39.757274,Trabzon,Trebizonde
32.901336,13.178665,Tripoli (Libya),Tripoli..Libye.
34.458094,35.816817,Tripoli (Syria),Tripoli..Syria.
36.79745,10.165785,Tunis,Tunis
39.424686,-0.291123,Valentia,Valencia
45.4398,12.3319,Venice,Venice
45.36,36.48,Vospero ,Vospero
44.121441,15.217873,Zara,Zara
45.28,13.90,Istrie,Istrie
44.5,15,Sclavonie,Sclavonie
44.455556,8.734722,Ligurie,Ligurie
41.383333,2.183333,Barcelona,Barcelone
41.816667,1.466667,Catalonia,Catalugna
38.993572,16.45752,Calabre,Calabre
36.5,1.11,Barbarie,Barbarie
45.083333,13.633333,Rovigno,Rovigno
