"start","end","year","ships","days"
"Venice","Ragusa",1283,1,1
"Ragusa","Constantinople",1283,1,1
"Venice","Crete",1300,2,1
"Venice","Romanie",1301,4,1
"Venice","Modon",1301,3,1
"Modon","Crete",1301,3,1
"Crete","Cyprus",1301,3,5
"Cyprus","Armenia",1301,3,8
"Venice","Buca.Culfil",1301,10,1
"Buca.Culfil","Patras",1301,10,1
"Patras","Modon",1301,10,1
"Modon","Crete",1301,10,1
"Crete","Cyprus",1301,10,1
"Cyprus","Armenia",1301,10,1
"Venice","Crete",1301,5,1
"Crete","Armenia",1301,5,1
"Venice","Buca.Culfil",1301,1,1
"Buca.Culfil","Patras",1301,1,1
"Venice","Crete",1301,1,1
"Crete","Alexandrie",1301,1,1
"Venice","Patras",1302,12,1
"Patras","Modon",1302,12,1
"Modon","Coron",1302,12,1
"Coron","Crete",1302,12,1
"Crete","Cyprus",1302,12,1
"Cyprus","Armenia",1302,12,1
"Venice","Constantinople",1302,1,1
"Venice","Durazzo",1303,1,1
"Durazzo","Corfou",1303,1,1
"Corfou","Clarence",1303,1,1
"Clarence","Constantinople",1303,1,1
"Venice","Durazzo",1303,1,1
"Durazzo","Corfou",1303,1,1
"Corfou","Clarence",1303,1,1
"Clarence","Constantinople",1303,1,1
"Venice","Crete",1304,1,1
"Venice","Negrepont",1305,1,1
"Negrepont","Constantinople",1305,1,1
"Venice","Alexandrie",1305,1,1
"Venice","Constantinople",1306,1,1
"Constantinople","Black.Sea",1306,1,1
"Venice","Alexandrie",1306,1,1
"Venice","Cyprus",1307,1,1
"Venice","Cyprus",1307,4,1
"Cyprus","Armenia",1307,4,1
"Armenia","Syria",1307,4,1
"Venice","Alexandrie",1307,1,1
"Venice","Cyprus",1308,2,1
"Cyprus","Syria",1308,2,1
"Venice","Crete",1312,5,1
"Crete","Alexandrie",1312,5,1
"Venice","Negrepont",1312,2,1
"Negrepont","Constantinople",1312,2,1
"Constantinople","Black.Sea",1312,2,1
"Venice","Cyprus",1312,2,1
"Cyprus","Armenia",1312,2,1
"Venice","Cyprus",1313,2,1
"Cyprus","Armenia",1313,2,1
"Venice","Alexandrie",1313,1,1
"Venice","Cyprus",1314,1,1
"Cyprus","Armenia",1314,1,1
"Venice","Cyprus",1316,8,1
"Cyprus","Armenia",1316,8,1
"Venice","Tunis",1317,1,1
"Tunis","Majorque",1317,1,1
"Majorque","Flanders",1317,1,1
"Venice","Tunis",1317,1,1
"Tunis","Majorque",1317,1,1
"Majorque","Flanders",1317,1,1
"Venice","Negrepont",1318,2,1
"Venice","Cyprus",1319,1,1
"Cyprus","Armenia",1319,1,1
"Venice","Negrepont",1319,4,1
"Venice","Southampton",1319,2,1
"Venice","Cyprus",1320,1,1
"Cyprus","Armenia",1320,1,1
"Venice","Bruges",1320,1,1
"Bruges","England",1320,1,1
"Venice","Constantinople",1321,7,1
"Constantinople","Black.Sea",1321,7,1
"Venice","Flanders",1321,1,40
"Venice","Southampton",1322,6,1
"Southampton","Bruges",1322,6,1
"Bruges","Anvers",1322,6,1
"Venice","Cyprus",1322,1,1
"Cyprus","Armenia",1322,1,1
"Venice","Constantinople",1322,6,1
"Constantinople","Trebizonde",1322,6,1
"Trebizonde","Tana",1322,6,1
"Venice","Trebizonde",1323,1,1
"Venice","Bruges",1323,1,1
"Bruges","Anvers",1323,1,1
"Anvers","Southampton",1323,1,1
"Venice","Ragusa",1323,1,1
"Venice","Cap.Malee",1323,1,1
"Cap.Malee","Cyprus",1323,1,1
"Venice","Crete",1323,2,1
"Crete","Negrepont",1323,2,1
"Venice","Constantinople",1324,1,1
"Constantinople","Tana",1324,1,1
"Venice","Anvers",1324,1,1
"Venice","Cyprus",1325,1,1
"Venice","Armenia",1326,1,1
"Venice","Trebizonde",1326,1,1
"Venice","Trebizonde",1326,1,1
"Venice","Anvers",1326,1,1
"Venice","Negrepont",1326,2,1
"Venice","Cap.Malee",1327,1,1
"Cap.Malee","Crete",1327,1,1
"Crete","Armenia",1327,1,1
"Venice","Constantinople",1327,4,1
"Venice","Black.Sea",1328,10,1
"Venice","Modon",1328,8,1
"Modon","Cyprus",1328,8,1
"Cyprus","Armenia",1328,8,15
"Venice","Cyprus",1328,1,1
"Venice","Cyprus",1329,8,1
"Cyprus","Armenia",1329,8,1
"Venice","Trebizonde",1329,1,1
"Venice","Crete",1329,1,1
"Crete","Romanie",1329,1,1
"Venice","Sicily",1329,8,1
"Venice","Crete",1330,7,1
"Crete","Armenia",1330,7,1
"Venice","Trebizonde",1330,8,9
"Trebizonde","Tana",1330,8,1
"Venice","Crete",1331,8,1
"Venice","Cyprus",1331,1,1
"Venice","Constantinople",1331,4,1
"Venice","Constantinople",1331,2,1
"Constantinople","Tana",1331,2,1
"Venice","Cyprus",1332,7,1
"Cyprus","Armenia",1332,7,1
"Venice","Modon",1332,7,1
"Modon","Constantinople",1332,7,1
"Venice","Modon",1332,2,1
"Modon","Constantinople",1332,2,1
"Constantinople","Tana",1332,2,5
"Venice","Majorque",1332,9,1
"Majorque","Bruges",1332,9,1
"Bruges","Brabant",1332,9,50
"Venice","Abydos",1333,6,1
"Abydos","Constantinople",1333,6,1
"Venice","Abydos",1333,2,1
"Abydos","Constantinople",1333,2,1
"Constantinople","Tana",1333,2,5
"Venice","Crete",1333,6,1
"Crete","Cyprus",1333,6,1
"Venice","Crete",1334,8,1
"Venice","Trebizonde",1334,4,1
"Venice","Trebizonde",1334,2,1
"Trebizonde","Tana",1334,2,5
"Venice","Sicily",1334,8,1
"Sicily","Majorque",1334,8,1
"Majorque","England",1334,8,1
"England","Flanders",1334,8,45
"Venice","Ragusa",1335,1,1
"Ragusa","Cyprus",1335,1,1
"Venice","Cyprus",1335,7,1
"Venice","Constantinople",1335,6,1
"Constantinople","Tana",1335,6,1
"Tana","Trebizonde",1335,6,1
"Venice","Constantinople",1335,2,1
"Constantinople","Tana",1335,2,1
"Tana","Trebizonde",1335,2,1
"Venice","Flanders",1335,8,45
"Venice","Modon",1336,6,1
"Modon","Negrepont",1336,6,1
"Negrepont","Constantinople",1336,6,1
"Venice","Modon",1336,2,1
"Modon","Negrepont",1336,2,1
"Negrepont","Constantinople",1336,2,1
"Constantinople","Tana",1336,2,7
"Venice","Modon",1336,8,1
"Modon","Coron",1336,8,1
"Coron","Cyprus",1336,8,15
"Venice","Sicily",1336,8,1
"Sicily","Lisbon",1336,8,1
"Lisbon","Cadix",1336,8,2
"Cadix","Flanders",1336,8,45
"Venice","Ragusa",1337,8,1
"Ragusa","Tana",1337,8,1
"Venice","Ragusa",1337,4,1
"Ragusa","Romanie",1337,4,1
"Romanie","Crete",1337,4,1
"Crete","Cyprus",1337,4,1
"Venice","Crete",1338,8,1
"Crete","Cyprus",1338,8,15
"Venice","Constantinople",1338,10,1
"Constantinople","Trebizonde",1338,10,8
"Trebizonde","Tana",1338,10,2
"Venice","Ragusa",1339,7,1
"Ragusa","Trebizonde",1339,7,8
"Venice","Ragusa",1339,3,1
"Ragusa","Trebizonde",1339,3,7
"Venice","Ragusa",1339,8,1
"Ragusa","Cyprus",1339,8,16
"Venice","Ragusa",1340,6,1
"Ragusa","Cyprus",1340,6,16
"Venice","Ragusa",1340,8,1
"Ragusa","Modon",1340,8,1
"Modon","Coron",1340,8,1
"Coron","Constantinople",1340,8,1
"Constantinople","Trebizonde",1340,8,8
"Venice","Cyprus",1341,1,16
"Venice","Modon",1341,1,1
"Modon","Tana",1341,1,10
"Venice","Modon",1341,2,1
"Modon","Trebizonde",1341,2,8
"Venice","Negrepont",1342,6,1
"Negrepont","Constantinople",1342,6,1
"Constantinople","Tana",1342,6,1
"Venice","Negrepont",1342,2,1
"Negrepont","Constantinople",1342,2,1
"Constantinople","Trebizonde",1342,2,1
"Venice","Cyprus",1342,7,16
"Venice","Cyprus",1343,7,16
"Venice","Modon",1343,2,1
"Modon","Coron",1343,2,1
"Coron","Constantinople",1343,2,1
"Constantinople","Trebizonde",1343,2,6
"Venice","Modon",1343,5,1
"Modon","Coron",1343,5,1
"Coron","Constantinople",1343,5,1
"Constantinople","Tana",1343,5,10
"Venice","Ragusa",1344,2,1
"Ragusa","Cyprus",1344,2,1
"Cyprus","Cyprus",1344,2,1
"Venice","Cyprus",1344,1,1
"Venice","Ragusa",1344,2,1
"Ragusa","Constantinople",1344,2,2
"Constantinople","Trebizonde",1344,2,8
"Venice","Constantinople",1344,3,1
"Constantinople","Trebizonde",1344,3,8
"Trebizonde","Romanie",1344,3,1
"Venice","Crete",1344,11,1
"Crete","Cyprus",1344,11,16
"Venice","Ragusa",1345,2,1
"Ragusa","Romanie",1345,2,1
"Romanie","Crete",1345,2,1
"Crete","Alexandrie",1345,2,1
"Alexandrie","Beyrouth",1345,2,1
"Venice","Modon",1345,4,1
"Modon","Cap.Malee",1345,4,1
"Cap.Malee","Negrepont",1345,4,1
"Negrepont","Constantinople",1345,4,1
"Venice","Crete",1345,8,1
"Crete","Cyprus",1345,8,16
"Venice","Constantinople",1346,4,1
"Venice","Clarence",1346,3,1
"Clarence","Crete",1346,3,1
"Crete","Alexandrie",1346,3,15
"Venice","Crete",1346,9,1
"Crete","Cyprus",1346,9,12
"Venice","Crete",1347,6,1
"Crete","Cyprus",1347,6,16
"Venice","Constantinople",1347,3,12
"Constantinople","Black.Sea",1347,3,1
"Venice","Alexandrie",1347,2,20
"Venice","Cyprus",1348,5,16
"Venice","Crete",1348,3,1
"Crete","Alexandrie",1348,3,20
"Venice","Negrepont",1348,3,1
"Negrepont","Constantinople",1348,3,8
"Constantinople","Black.Sea",1348,3,1
"Black.Sea","Vospero",1348,3,1
"Venice","Zara",1349,5,1
"Zara","Ragusa",1349,5,1
"Ragusa","Modon",1349,5,1
"Modon","Negrepont",1349,5,1
"Negrepont","Crete",1349,5,1
"Crete","Constantinople",1349,5,2
"Constantinople","Tana",1349,5,8
"Venice","Romanie",1349,3,1
"Romanie","Negrepont",1349,3,1
"Negrepont","Crete",1349,3,1
"Crete","Cyprus",1349,3,2
"Venice","Modon",1349,3,1
"Modon","Crete",1349,3,1
"Crete","Alexandrie",1349,3,20
"Venice","Alexandrie",1350,3,1
"Venice","Cyprus",1350,8,1
"Venice","Negrepont",1350,5,2
"Negrepont","Crete",1350,5,1
"Crete","Constantinople",1350,5,2
"Constantinople","Tana",1350,5,12
"Venice","Constantinople",1350,1,1
"Constantinople","Tana",1350,1,1
"Venice","Modon",1355,3,1
"Modon","Coron",1355,3,1
"Coron","Crete",1355,3,1
"Crete","Alexandrie",1355,3,15
"Venice","Crete",1355,1,1
"Crete","Alexandrie",1355,1,15
"Venice","Modon",1355,2,1
"Modon","Coron",1355,2,1
"Coron","Constantinople",1355,2,10
"Venice","Modon",1355,3,1
"Modon","Coron",1355,3,1
"Coron","Crete",1355,3,1
"Crete","Cyprus",1355,3,15
"Venice","Cyprus",1355,1,1
"Venice","Zara",1356,4,1
"Zara","Coron",1356,4,1
"Coron","Crete",1356,4,1
"Crete","Cyprus",1356,4,15
"Venice","Coron",1356,3,1
"Coron","Crete",1356,3,1
