id,start,end,year,ships,days
1001,"Venice","Ragusa",1283,1,1
1001,"Ragusa","Constantinople",1283,1,1
1002,"Venice","Crete",1300,2,1
1003,"Venice","Romanie",1301,4,1
1004,"Venice","Modon",1301,3,1
1004,"Modon","Crete",1301,3,1
1004,"Crete","Cyprus",1301,3,5
1004,"Cyprus","Armenia",1301,3,8
1005,"Venice","Buca.Culfil",1301,10,1
1005,"Buca.Culfil","Patras",1301,10,1
1005,"Patras","Modon",1301,10,1
1005,"Modon","Crete",1301,10,1
1005,"Crete","Cyprus",1301,10,1
1005,"Cyprus","Armenia",1301,10,1
1006,"Venice","Crete",1301,5,1
1006,"Crete","Armenia",1301,5,1
1007,"Venice","Buca.Culfil",1301,1,1
1007,"Buca.Culfil","Patras",1301,1,1
1008,"Venice","Crete",1301,1,1
1008,"Crete","Alexandrie",1301,1,1
1009,"Venice","Patras",1302,12,1
1009,"Patras","Modon",1302,12,1
1009,"Modon","Coron",1302,12,1
1009,"Coron","Crete",1302,12,1
1009,"Crete","Cyprus",1302,12,1
1009,"Cyprus","Armenia",1302,12,1
1010,"Venice","Constantinople",1302,1,1
1011,"Venice","Durazzo",1303,1,1
1011,"Durazzo","Corfou",1303,1,1
1011,"Corfou","Clarence",1303,1,1
1011,"Clarence","Constantinople",1303,1,1
1012,"Venice","Durazzo",1303,1,1
1012,"Durazzo","Corfou",1303,1,1
1012,"Corfou","Clarence",1303,1,1
1012,"Clarence","Constantinople",1303,1,1
1013,"Venice","Crete",1304,1,1
1014,"Venice","Negrepont",1305,1,1
1014,"Negrepont","Constantinople",1305,1,1
1015,"Venice","Alexandrie",1305,1,1
1016,"Venice","Constantinople",1306,1,1
1016,"Constantinople","Black.Sea",1306,1,1
1017,"Venice","Alexandrie",1306,1,1
1018,"Venice","Cyprus",1307,1,1
1019,"Venice","Cyprus",1307,4,1
1019,"Cyprus","Armenia",1307,4,1
1019,"Armenia","Syria",1307,4,1
1020,"Venice","Alexandrie",1307,1,1
1021,"Venice","Cyprus",1308,2,1
1021,"Cyprus","Syria",1308,2,1
1022,"Venice","Crete",1312,5,1
1022,"Crete","Alexandrie",1312,5,1
1023,"Venice","Negrepont",1312,2,1
1023,"Negrepont","Constantinople",1312,2,1
1023,"Constantinople","Black.Sea",1312,2,1
1024,"Venice","Cyprus",1312,2,1
1024,"Cyprus","Armenia",1312,2,1
1025,"Venice","Cyprus",1313,2,1
1025,"Cyprus","Armenia",1313,2,1
